SSN_ID               WH_ID  LOCN_ID    ISSN_STATUS LAST_UPDATE_DATE 
26320305             FX     DDFS0000   DS          15-MAR-2008      
26320204             FX     DDFS0000   DS          15-MAR-2008      
26320203             FX     DDFS0000   DS          15-MAR-2008      
26320202             FX     DDFS0000   DS          15-MAR-2008      
26320101             FX     C1190101   ST          13-MAR-2008      
26290219             FX     DDFS0000   DS          17-MAR-2008      
26290218             FX     DDFS0000   DS          17-MAR-2008      
26290217             FX     DDFS0000   DS          17-MAR-2008      
26290216             FX     DDFS0000   DS          17-MAR-2008      
26290215             FX     DDFS0000   DS          17-MAR-2008      
26290214             FX     DDFS0000   DS          17-MAR-2008      
26290213             FX     DDFS0000   DS          17-MAR-2008      
26290212             FX     DDFS0000   DS          17-MAR-2008      
26290211             FX     DDFS0000   DS          17-MAR-2008      
26290210             FX     DDFS0000   DS          17-MAR-2008      
26290109             FX     DDFS0000   DS          17-MAR-2008      
26290108             FX     DDFS0000   DS          17-MAR-2008      
26290107             FX     DDFS0000   DS          17-MAR-2008      
26290106             FX     DDFS0000   DS          17-MAR-2008      
26290105             FX     DDFS0000   DS          16-APR-2008      
26290104             FX     DDFS0000   DS          17-MAR-2008      
26290103             FX     DDFS0000   DS          17-MAR-2008      
26290102             FX     DDFS0000   DS          17-MAR-2008      
26290101             FX     DDFS0000   DS          17-MAR-2008      
26280101             FX     RD000001   DS          14-APR-2008      
26230218             FX     DDFS0000   DS          15-MAR-2008      
26230217             FX     DDFS0000   DS          16-MAR-2008      
26230216             FX     DDFS0000   DS          15-MAR-2008      
26230215             FX     DDFS0000   DS          15-MAR-2008      
26230214             FX     DDFS0000   DS          15-MAR-2008      
26230213             FX     DDFS0000   DS          16-MAR-2008      
26230212             FX     DDFS0000   DS          15-MAR-2008      
26230211             FX     DDFS0000   DS          15-MAR-2008      
26230110             FX     DDFS0000   DS          16-MAR-2008      
26230109             FX     DDFS0000   DS          16-MAR-2008      
26230108             FX     DDFS0000   DS          16-MAR-2008      
26230107             FX     DDFS0000   DS          16-MAR-2008      
26230106             FX     DDFS0000   DS          16-MAR-2008      
26230105             FX     DDFS0000   DS          16-MAR-2008      
26230104             FX     DDFS0000   DS          16-MAR-2008      
26230103             FX     DDFS0000   DS          16-MAR-2008      
26230102             FX     DDFS0000   DS          16-MAR-2008      
26230101             FX     DDFS0000   DS          16-MAR-2008      
25960103             FX     GZ0101R1   DX          16-APR-2008      
25930429             FX     DDFS0000   DS          14-APR-2008      
25930428             FX     DDFS0000   DS          14-APR-2008      
25930427             FX     DDFS0000   DS          14-APR-2008      
25930426             FX     DDFS0000   DS          14-APR-2008      
25930425             FX     DDFS0000   DS          14-APR-2008      
25930424             FX     DDFS0000   DS          14-APR-2008      
25910424             FX     RD000009   DS          14-APR-2008      
25910423             FX     RD000009   DS          14-APR-2008      
25910422             FX     RD000009   DS          14-APR-2008      
25910421             FX     RD000009   DS          14-APR-2008      
25910420             FX     RD000009   DS          14-APR-2008      
