SSN_ID               WH_ID  LOCN_ID    ISSN_STATUS LAST_UPDATE_DATE 
20580127             XD     RD000010   DX          19-NOV-2007      
20590101             XD     RD000011   DX          19-NOV-2007      
20590102             XD     RD000011   DX          19-NOV-2007      
20590103             XD     RD000011   DX          19-NOV-2007      
20590104             XD     RD000011   DX          19-NOV-2007      
20590105             XD     RD000011   DX          19-NOV-2007      
20590106             XD     RD000011   DX          19-NOV-2007      
20590107             XD     RD000011   DX          19-NOV-2007      
20590108             XD     RD000011   DX          19-NOV-2007      
20590109             XD     RD000011   DX          19-NOV-2007      
20590110             XD     RD000011   DX          19-NOV-2007      
20590111             XD     RD000011   DX          19-NOV-2007      
20590112             XD     RD000011   DX          19-NOV-2007      
20590213             XD     RD000011   DX          19-NOV-2007      
20590214             XD     RD000011   DX          19-NOV-2007      
20590215             XD     RD000011   DX          19-NOV-2007      
20590216             XD     RD000011   DX          19-NOV-2007      
20590217             XD     RD000011   DX          19-NOV-2007      
20590218             XD     RD000011   DX          19-NOV-2007      
20590219             XD     RD000011   DX          19-NOV-2007      
20590220             XD     RD000011   DX          19-NOV-2007      
20690101             XD     RD000008   DX          19-NOV-2007      
20690202             XD     RD000008   DX          19-NOV-2007      
20690203             XD     RD000008   DX          19-NOV-2007      
20690304             XD     RD000008   DX          19-NOV-2007      
20690305             XD     RD000008   DX          19-NOV-2007      
20690406             XD     RD000008   DX          19-NOV-2007      
20690407             XD     RD000008   DX          19-NOV-2007      
20690408             XD     RD000008   DX          19-NOV-2007      
20750101             XD     RD000001   DX          19-NOV-2007      
20750102             XD     RD000001   DX          19-NOV-2007      
20750103             XD     RD000001   DX          19-NOV-2007      
20750104             XD     RD000001   DX          19-NOV-2007      
20750105             XD     RD000001   DX          19-NOV-2007      
20750106             XD     RD000001   DX          19-NOV-2007      
20750107             XD     RD000001   DX          19-NOV-2007      
20750108             XD     RD000001   DX          19-NOV-2007      
20750109             XD     RD000001   DX          19-NOV-2007      
20750110             XD     RD000001   DX          19-NOV-2007      
20750111             XD     RD000001   DX          19-NOV-2007      
20750112             XD     RD000001   DX          19-NOV-2007      
20750113             XD     RD000001   DX          19-NOV-2007      
20750114             XD     RD000001   DX          19-NOV-2007      
20750115             XD     RD000001   DX          19-NOV-2007      
20750116             XD     RD000001   DX          19-NOV-2007      
20750117             XD     RD000001   DX          19-NOV-2007      
20750118             XD     RD000001   DX          19-NOV-2007      
20750119             XD     RD000001   DX          19-NOV-2007      
20750120             XD     RD000001   DX          19-NOV-2007      
20750121             XD     RD000001   DX          19-NOV-2007      
20750122             XD     RD000001   DX          19-NOV-2007      
20750123             XD     RD000001   DX          19-NOV-2007      
20750124             XD     RD000001   DX          19-NOV-2007      
20750125             XD     RD000001   DX          19-NOV-2007      
20750126             XD     RD000001   DX          19-NOV-2007      
20750127             XD     RD000001   DX          19-NOV-2007      
20750128             XD     RD000001   DX          19-NOV-2007      
20750129             XD     RD000001   DX          19-NOV-2007      
20750130             XD     RD000001   DX          19-NOV-2007      
20750131             XD     RD000001   DX          19-NOV-2007      
20750132             XD     RD000001   DX          19-NOV-2007      
20750133             XD     RD000001   DX          19-NOV-2007      
20750134             XD     RD000001   DX          19-NOV-2007      
20750135             XD     RD000001   DX          19-NOV-2007      
20750136             XD     RD000001   DX          19-NOV-2007      
20750137             XD     RD000001   DX          19-NOV-2007      
20750138             XD     RD000001   DX          19-NOV-2007      
20770101             FX     DDFS0000   PA           9-APR-2008      
20770102             FX     RD000001   PA          20-NOV-2007      
20770103             FX     RD000001   PA          20-NOV-2007      
20770104             FX     RD000001   PA          20-NOV-2007      
20770105             FX     RD000001   PA          20-NOV-2007      
20770106             FX     RD000001   PA          20-NOV-2007      
20770107             FX     RD000001   PA          20-NOV-2007      
20770108             FX     RD000001   PA          20-NOV-2007      
20770109             FX     RD000001   PA          20-NOV-2007      
20770110             FX     RD000001   PA          20-NOV-2007      
20770111             FX     RD000001   PA          20-NOV-2007      
20770112             FX     RD000001   PA          20-NOV-2007      
20770113             FX     RD000001   PA          20-NOV-2007      
20770114             FX     RD000001   PA          20-NOV-2007      
20770115             FX     RD000001   PA          20-NOV-2007      
20770116             FX     RD000001   PA          20-NOV-2007      
